賽事日期,場次,名次,馬號,馬名,騎師,練馬師,實際負磅,檔位,完賽時間
2024/01/01,1,1,1,光年八十 ,黃智弘,容天鵬,125,1,1:09.80
2024/01/01,1,2,13,快狠準 ,艾兆禮,賀賢,120,6,1:10.02
2024/01/01,1,3,4,帥炸 ,麥道朗,蘇偉賢,129,5,1:10.16
2024/01/01,1,4,6,黑白 ,田泰安,葉楚航,129,3,1:10.23
2024/01/01,1,5,8,手錶之星 ,潘頓,丁冠豪,128,8,1:10.26
2024/01/01,1,6,3,金運來 ,布文,文家良,129,7,1:10.29
2024/01/01,1,7,9,江南盛 ,蔡明紹,伍鵬志,127,9,1:10.44
2024/01/01,1,8,2,加州代表 ,巴度,告東尼,129,11,1:10.51
2024/01/01,1,9,10,欣樂人生 ,梁家俊,姚本輝,127,12,1:10.69
2024/01/01,1,10,12,投資有利 ,霍宏聲,韋達,122,2,1:10.72
2024/01/01,1,11,11,火神神樂 ,艾道拿,黎昭昇,126,10,1:10.74
2024/01/01,1,12,7,椒椒醒 ,希威森,廖康銘,129,13,1:11.72
2024/01/01,1,13,5,高明力量 ,周俊樂,呂健威,127,4,1:12.70
2024/01/01,2,1,5,風雲武士 ,潘頓,大衛希斯,130,12,1:09.75
2024/01/01,2,2,2,電訊龍駒 ,布文,葉楚航,132,6,1:10.18
2024/01/01,2,3,9,連連勝利 ,艾道拿,蔡約翰,124,1,1:10.31
2024/01/01,2,4,12,潮州大兄 ,巴度,文家良,120,8,1:10.67
2024/01/01,2,5,1,開心高球 ,梁家俊,羅富全,135,9,1:10.69
2024/01/01,2,6,8,萬事靚 ,巫顯東,容天鵬,123,4,1:10.69
2024/01/01,2,7,4,九尾狐 ,董明朗,賀賢,130,3,1:10.94
2024/01/01,2,8,11,飛躍精英 ,潘明輝,姚本輝,120,5,1:10.96
2024/01/01,2,9,7,金狀元 ,周俊樂,沈集成,123,7,1:11.06
2024/01/01,2,10,6,威力飛彈 ,艾兆禮,鄭俊偉,125,2,1:11.16
2024/01/01,2,11,3,竣誠駒 ,希威森,告東尼,130,11,1:11.19
2024/01/01,2,12,10,魔法速遞 ,蔡明紹,黎昭昇,123,10,1:11.22
2024/01/01,3,1,1,常拼常勇 ,麥道朗,姚本輝,134,3,1:48.55
2024/01/01,3,2,6,博才 ,田泰安,蘇偉賢,124,10,1:48.82
2024/01/01,3,3,5,浪漫風采 ,希威森,沈集成,126,8,1:49.23
2024/01/01,3,4,10,嘉寶神駒 ,賀銘年,黎昭昇,120,4,1:49.26
2024/01/01,3,5,7,碧海藍天 ,艾兆禮,蔡約翰,124,2,1:49.51
2024/01/01,3,6,8,唯美主義 ,潘頓,伍鵬志,122,9,1:49.51
2024/01/01,3,7,9,金鎗武士 ,何澤堯,呂健威,121,7,1:49.77
2024/01/01,3,8,3,恩尼格 ,霍宏聲,告東尼,131,1,1:49.88
2024/01/01,3,9,4,能文能武 ,周俊樂,呂健威,128,6,1:50.54
2024/01/01,3,10,2,銀皇興標 ,布文,羅富全,134,5,1:55.96
2024/01/01,4,1,11,紅鬃烈馬 ,潘頓,葉楚航,127,14,1:23.44
2024/01/01,4,2,4,活力多多 ,布文,伍鵬志,132,6,1:23.46
2024/01/01,4,3,10,洪運派彩 ,蔡明紹,徐雨石,128,13,1:23.66
2024/01/01,4,4,12,珍珠哥 ,霍宏聲,葉楚航,123,4,1:23.70
2024/01/01,4,5,8,喜報圍家 ,何澤堯,黎昭昇,130,10,1:23.71
2024/01/01,4,6,5,創高峰 ,周俊樂,韋達,129,5,1:23.75
2024/01/01,4,7,13,獵狐者威 ,希威森,呂健威,121,1,1:23.98
2024/01/01,4,8,2,閃耀威龍 ,梁家俊,文家良,134,7,1:24.06
2024/01/01,4,9,6,領航傳祺 ,艾兆禮,鄭俊偉,131,2,1:24.07
2024/01/01,4,10,3,桃花多 ,田泰安,告東尼,132,8,1:24.09
2024/01/01,4,11,1,領航神駒 ,麥道朗,蘇偉賢,135,11,1:24.12
2024/01/01,4,12,9,飛騰騅 ,黃智弘,方嘉柏,120,3,1:24.37
2024/01/01,4,13,7,最佳拍檔 ,潘明輝,巫偉傑,129,9,1:24.97
2024/01/01,4,14,14,飛馬好威 ,董明朗,賀賢,117,12,1:25.20
2024/01/01,5,1,5,逐夢年代 ,布文,文家良,128,6,1:23.75
2024/01/01,5,2,12,幸運星球 ,田泰安,韋達,119,1,1:23.83
2024/01/01,5,3,8,金匯昇昇 ,潘頓,蔡約翰,127,7,1:23.89
2024/01/01,5,4,7,神舟時代 ,董明朗,丁冠豪,127,2,1:24.11
2024/01/01,5,5,10,獎星 ,梁家俊,羅富全,124,8,1:24.22
2024/01/01,5,6,9,星河小子 ,黃智弘,容天鵬,116,4,1:24.38
2024/01/01,5,9,4,烈火駿馬 ,艾兆禮,姚本輝,128,10,1:24.72
2024/01/01,5,10,3,金發銀發 ,何澤堯,呂健威,132,11,1:24.88
2024/01/01,5,11,2,滿月 ,周俊樂,沈集成,132,9,1:24.94
2024/01/01,5,12,6,發光發亮 ,潘明輝,葉楚航,126,12,1:26.20
2024/01/01,6,1,3,安泰 ,潘頓,蔡約翰,133,10,1:22.40
2024/01/01,6,2,5,佳福駒 ,布文,巫偉傑,130,9,1:22.52
2024/01/01,6,3,2,時時稱心 ,麥道朗,告東尼,133,5,1:22.59
2024/01/01,6,4,8,你知我得 ,田泰安,姚本輝,127,12,1:22.93
2024/01/01,6,5,7,金鼓齊昇 ,周俊樂,沈集成,127,8,1:23.03
2024/01/01,6,6,1,無敵勇士 ,梁家俊,文家良,135,1,1:23.11
2024/01/01,6,7,9,一舖縱橫 ,霍宏聲,葉楚航,124,6,1:23.15
2024/01/01,6,8,12,得意醒 ,潘明輝,姚本輝,118,11,1:23.19
2024/01/01,6,9,13,競駿天下 ,希威森,大衛希斯,118,4,1:23.24
2024/01/01,6,10,10,星雲浩騰 ,董明朗,葉楚航,122,2,1:23.52
2024/01/01,6,11,11,加飯 ,蔡明紹,容天鵬,121,3,1:23.67
2024/01/01,6,12,4,勁力十足 ,黃智弘,鄭俊偉,122,13,1:23.79
2024/01/01,7,1,8,神虎龍駒 ,艾兆禮,伍鵬志,116,7,1:21.98
2024/01/01,7,2,3,健康愉快 ,巴度,羅富全,117,8,1:22.29
2024/01/01,7,3,2,美麗同享 ,麥道朗,告東尼,123,4,1:22.40
2024/01/01,7,4,5,佳運財 ,希威森,大衛希斯,117,2,1:22.40
2024/01/01,7,5,7,增有 ,董明朗,賀賢,117,6,1:22.41
2024/01/01,7,6,6,駿馬風采 ,蔡明紹,羅富全,116,5,1:22.64
2024/01/01,7,7,1,加州星球 ,布文,告東尼,135,1,1:22.71
2024/01/01,7,8,4,紅運帝王 ,田泰安,蔡約翰,115,3,1:23.15
2024/01/01,8,1,4,朗朗乾坤 ,麥道朗,大衛希斯,131,1,1:22.54
2024/01/01,8,2,3,魅力知遇 ,艾兆禮,蔡約翰,132,3,1:22.65
2024/01/01,8,3,11,滿歡笑 ,艾道拿,鄭俊偉,122,13,1:22.87
2024/01/01,8,4,14,天天得樂 ,賀銘年,葉楚航,118,6,1:23.06
2024/01/01,8,5,7,勤德威力 ,霍宏聲,賀賢,121,12,1:23.08
2024/01/01,8,6,6,鈦易搵 ,何澤堯,方嘉柏,124,14,1:23.14
2024/01/01,8,7,9,綠色好運 ,潘頓,姚本輝,121,2,1:23.48
2024/01/01,8,8,13,快樂奇兵 ,希威森,容天鵬,119,10,1:23.77
2024/01/01,8,9,1,潮州精神 ,巴度,文家良,135,5,1:23.82
2024/01/01,8,10,2,自己話事 ,周俊樂,呂健威,130,8,1:23.95
2024/01/01,8,11,5,爆笑 ,田泰安,告東尼,129,4,1:24.02
2024/01/01,8,12,10,糖不甩 ,蔡明紹,巫偉傑,121,11,1:24.16
2024/01/01,8,13,8,上駿奔騰 ,潘明輝,沈集成,119,7,1:24.31
2024/01/01,8,14,12,駿寶 ,董明朗,羅富全,120,9,1:24.83
2024/01/01,9,1,7,氣勢 ,麥道朗,蔡約翰,122,7,1:09.12
2024/01/01,9,2,13,嘉應高昇 ,潘頓,大衛希斯,118,2,1:09.12
2024/01/01,9,3,1,綠族無限 ,田泰安,伍鵬志,135,5,1:09.68
2024/01/01,9,4,4,顏色大皇 ,希威森,告東尼,123,14,1:09.77
2024/01/01,9,5,5,還看今朝 ,艾道拿,賀賢,123,9,1:09.90
2024/01/01,9,6,14,巴閉仔 ,董明朗,呂健威,117,6,1:09.96
2024/01/01,9,7,3,連連有盈 ,潘明輝,告東尼,127,8,1:10.03
2024/01/01,9,8,6,鈁糖武士 ,何澤堯,方嘉柏,122,13,1:10.04
2024/01/01,9,9,8,連連歡呼 ,蔡明紹,伍鵬志,120,3,1:10.25
2024/01/01,9,10,2,非凡之星 ,黃智弘,蘇偉賢,120,11,1:10.29
2024/01/01,9,11,10,高進明駒 ,賀銘年,容天鵬,118,10,1:10.40
2024/01/01,9,12,11,以戰得勝 ,巴度,羅富全,118,12,1:10.53
2024/01/01,9,13,12,機械大師 ,艾兆禮,伍鵬志,118,4,1:11.39
2024/01/01,9,14,9,天生夠響 ,梁家俊,伍鵬志,120,1,1:11.44
2024/01/01,10,1,11,時尚歡欣 ,周俊樂,容天鵬,121,6,1:23.00
2024/01/01,10,2,8,一定美麗 ,賀銘年,蔡約翰,127,2,1:23.10
2024/01/01,10,3,10,瑰麗人生 ,希威森,呂健威,124,3,1:23.21
2024/01/01,10,4,2,縱橫天下 ,梁家俊,蘇偉賢,134,4,1:23.22
2024/01/01,10,5,5,馬林 ,田泰安,韋達,131,14,1:23.36
2024/01/01,10,6,9,堅又威 ,潘頓,姚本輝,127,10,1:23.38
2024/01/01,10,7,4,加州偟者 ,何澤堯,告東尼,132,13,1:23.39
2024/01/01,10,8,14,勝益善 ,董明朗,沈集成,120,5,1:23.42
2024/01/01,10,9,3,嘉應傳承 ,艾兆禮,伍鵬志,133,7,1:23.56
2024/01/01,10,10,7,實力派 ,艾道拿,賀賢,128,8,1:23.57
2024/01/01,10,11,13,駟跑得 ,蔡明紹,大衛希斯,121,11,1:23.67
2024/01/01,10,12,1,川河型駒 ,布文,方嘉柏,135,9,1:23.78
2024/01/01,10,13,6,紅旺 ,陳嘉熙,葉楚航,125,12,1:23.86
2024/01/01,10,14,12,亞洲籐王 ,潘明輝,黎昭昇,119,1,1:24.08
